,Date,Action,Ticker,Quantity,Price,Cash
0,2010-05-26 00:00:00-04:00,BUY,AAPL,27195,7.354222774505615,800001.9116473198
1,2010-08-24 00:00:00-04:00,SELL,AAPL,27195,7.228292942047119,996575.3382062912
2,2010-09-20 00:00:00-04:00,BUY,AAPL,23358,8.532782554626465,797266.6032953262
3,2010-09-27 00:00:00-04:00,BUY,GOOGL,15154,13.225580215454102,596846.1607103348
4,2010-10-22 00:00:00-04:00,BUY,MSFT,10755,19.424951553344727,387930.80675411224
5,2011-03-07 00:00:00-05:00,SELL,MSFT,10755,19.92319679260254,602204.7882585526
6,2011-03-14 00:00:00-04:00,SELL,GOOGL,15154,14.212492942810059,817580.9063138962
7,2011-05-02 00:00:00-04:00,SELL,AAPL,23358,10.432268142700195,1061257.8255910873
8,2011-05-04 00:00:00-04:00,BUY,AAPL,20154,10.531383514404297,849008.3222417831
9,2011-05-24 00:00:00-04:00,SELL,AAPL,20154,10.007781982421875,1050705.1603155136
10,2011-07-12 00:00:00-04:00,BUY,MSFT,10155,20.69314193725586,840566.3039426804
11,2011-07-18 00:00:00-04:00,BUY,AAPL,18667,11.26135540008545,630350.5826892853
12,2011-07-25 00:00:00-04:00,BUY,GOOGL,13935,15.434041023254395,415277.2210302353
13,2011-08-25 00:00:00-04:00,SELL,MSFT,10155,19.278047561645508,611045.7940187454
14,2011-09-01 00:00:00-04:00,SELL,GOOGL,13935,13.277692794799805,796070.4431142807
15,2011-09-09 00:00:00-04:00,BUY,MSFT,9985,20.196048736572266,594412.8964796066
16,2011-10-20 00:00:00-04:00,BUY,GOOGL,14134,14.553597450256348,388712.3501176834
17,2011-11-25 00:00:00-05:00,SELL,MSFT,9985,19.20977020263672,580521.905591011
18,2011-11-29 00:00:00-05:00,SELL,AAPL,18667,11.243276596069336,790400.1498098373
19,2011-12-23 00:00:00-05:00,BUY,AAPL,16682,12.15099811553955,587697.1992464066
20,2012-01-03 00:00:00-05:00,BUY,MSFT,9723,21.162368774414062,381935.4876527786
21,2012-02-15 00:00:00-05:00,SELL,GOOGL,14134,15.099417686462402,595350.6572332382
22,2012-02-24 00:00:00-05:00,BUY,GOOGL,14485,15.207633972167969,375068.0791463852
23,2012-05-01 00:00:00-04:00,SELL,GOOGL,14485,15.071242332458496,593375.0243320465
24,2012-05-24 00:00:00-04:00,SELL,MSFT,9723,23.283649444580078,819761.9478816986
25,2012-08-06 00:00:00-04:00,BUY,GOOGL,14132,16.02848243713379,593247.4340801239
26,2012-08-23 00:00:00-04:00,BUY,MSFT,9559,24.3973445892334,360033.21715164185
27,2012-10-17 00:00:00-04:00,SELL,MSFT,9559,23.85715103149414,588083.7238616943
28,2012-11-02 00:00:00-04:00,SELL,AAPL,16682,17.451684951782227,879212.7322273254
29,2012-11-20 00:00:00-05:00,SELL,GOOGL,14132,16.70545768737793,1115294.2602653503
30,2012-12-20 00:00:00-05:00,BUY,GOOGL,12384,18.011783599853516,892236.3321647644
31,2013-02-21 00:00:00-05:00,BUY,MSFT,10100,22.53114891052246,664671.7281684875
32,2013-05-31 00:00:00-04:00,BUY,AAPL,17697,13.839868545532227,419747.57451820374
33,2013-06-21 00:00:00-04:00,SELL,AAPL,17697,12.724932670593262,644940.7079896927
34,2013-08-01 00:00:00-04:00,BUY,AAPL,16908,14.053741455078125,407320.04746723175
35,2013-08-12 00:00:00-04:00,SELL,MSFT,10100,27.129579544067383,681328.8008623123
36,2013-09-03 00:00:00-04:00,SELL,GOOGL,12384,21.45326042175293,947005.9779253006
37,2013-10-01 00:00:00-04:00,BUY,GOOGL,10874,22.117021560668945,706505.4854745865
38,2013-10-08 00:00:00-04:00,SELL,GOOGL,10874,21.28594970703125,937968.9025888443
39,2013-10-14 00:00:00-04:00,BUY,MSFT,8366,28.633996963500977,698416.8839921951
40,2013-10-21 00:00:00-04:00,BUY,GOOGL,9711,25.016921997070312,455477.5544786453
41,2014-02-19 00:00:00-05:00,SELL,AAPL,16908,16.843473434448242,740267.0033082962
42,2014-03-10 00:00:00-04:00,BUY,AAPL,15631,16.641305923461914,480146.750418663
43,2014-03-12 00:00:00-04:00,SELL,AAPL,15631,16.81964874267578,743054.6799154282
44,2014-04-14 00:00:00-04:00,SELL,GOOGL,9711,27.16153907775879,1006820.3858995438
45,2014-04-29 00:00:00-04:00,BUY,AAPL,13926,18.566152572631836,748268.1451730728
46,2014-07-01 00:00:00-04:00,BUY,GOOGL,9048,29.467676162719727,481644.6112527847
47,2014-10-15 00:00:00-04:00,SELL,GOOGL,9048,26.938846588134766,725387.2951822281
48,2015-01-27 00:00:00-05:00,SELL,MSFT,8366,36.70516586303711,1032462.7127923965
49,2015-02-27 00:00:00-05:00,BUY,GOOGL,10220,28.029890060424805,745997.236374855
